Screen Name,User Name,Tweet Created At,Tweet Text,Tweet Coordinates,Retweet Count,Phone Type,Favorite Count,Favorited,Type
CNBC,CNBC,2019-08-02 17:43,"The Instagram-perfect wedding isn't cheap, and many young couples are going into debt to have them.… https://t.co/cCyoUMQrcJ",None,10,Twitter Media Studio,21,FALSE,from:cnbc -filter:retweets
CNBC,CNBC,2019-08-02 17:31,Warren Buffett and Bill Murray hung out together and told jokes this week https://t.co/7tJUeOt3Ol,None,6,SocialFlow,42,FALSE,from:cnbc -filter:retweets
CNBC,CNBC,2019-08-02 17:24,"You know you should plan and think before buying something, but do you know why? Test your budget IQ here.… https://t.co/gvaeS7kzVz",None,0,SocialFlow,7,FALSE,from:cnbc -filter:retweets
CNBC,CNBC,2019-08-02 17:20,"Chances are, you've heard of Viagra and know just what it does. But beyond being one of the few pharmaceutical hous… https://t.co/56LNiopi8d",None,7,Twitter Media Studio,12,FALSE,from:cnbc -filter:retweets
CNBC,CNBC,2019-08-02 17:13,"Stocks making the biggest moves midday: Pinterest, Square, Etsy, Newell Brands &amp; more https://t.co/jLhElDw1LR",None,4,SocialFlow,16,FALSE,from:cnbc -filter:retweets
CNBC,CNBC,2019-08-02 17:13,How decades of US sanctions decimated Iran's economy https://t.co/bDRdCIwNtp,None,4,SocialFlow,20,FALSE,from:cnbc -filter:retweets
CNBC,CNBC,2019-08-02 17:06,Joe Biden forced to defend Obama's legacy as 2020 rivals go on the attack https://t.co/fvwD7tnyFn,None,3,SocialFlow,14,FALSE,from:cnbc -filter:retweets
CNBC,CNBC,2019-08-02 17:02,"President Trump announced another round of tariffs on roughly $300 billion worth of goods. Steve Bannon, former Whi… https://t.co/zS0GQklZND",None,21,Twitter Media Studio,42,FALSE,from:cnbc -filter:retweets
CNBC,CNBC,2019-08-02 16:48,The unemployment rate remained at 3.7% in July amid a sharp jump in the size of the labor force to its highest leve… https://t.co/wET81XxAbE,None,11,SocialFlow,33,FALSE,from:cnbc -filter:retweets
CNBC,CNBC,2019-08-02 16:43,"CNBC's @ylanmui reports on the results of the June jobs report. Non-farm payrolls were expected to rise by 165,000… https://t.co/2DcPtehL42",None,4,Twitter Media Studio,11,FALSE,from:cnbc -filter:retweets
CNBC,CNBC,2019-08-02 16:20,This entrepreneur uses Warren Buffett's principles to help shape his growing business — and his life.… https://t.co/GZrFiIcGdo,None,7,Twitter Media Studio,29,FALSE,from:cnbc -filter:retweets
CNBC,CNBC,2019-08-02 16:18,"Joe Biden's PAC, American Possibilities, is slated to shut down within months https://t.co/3jPRLgwV50",None,6,SocialFlow,16,FALSE,from:cnbc -filter:retweets
CNBC,CNBC,2019-08-02 16:05,"Trump defends Kim Jong Un, downplays a series of North Korean ballistic missile launches https://t.co/izz6k4LNrs",None,6,SocialFlow,23,FALSE,from:cnbc -filter:retweets
CNBC,CNBC,2019-08-02 16:05,Fears become a reality for retail with a fourth round of tariffs https://t.co/gxRwHLv75n,None,10,SocialFlow,12,FALSE,from:cnbc -filter:retweets
CNBC,CNBC,2019-08-02 16:03,"Steve Bannon goes against Trump on bitcoin, saying 'cryptocurrencies have a big future' https://t.co/7i1YgnhEAn",None,7,SocialFlow,13,FALSE,from:cnbc -filter:retweets
CNBC,CNBC,2019-08-02 16:03,"Jim O'Sullivan, chief U.S. economist at High Frequency Economics, and Matt Toms, chief investment officer of fixed… https://t.co/cVqSvrcdIx",None,5,Twitter Media Studio,9,FALSE,from:cnbc -filter:retweets
CNBC,CNBC,2019-08-02 15:49,"Are Apple, Google, Facebook and Amazon fair game? https://t.co/xCRhtzxMh6",None,12,SocialFlow,16,FALSE,from:cnbc -filter:retweets
CNBC,CNBC,2019-08-02 15:44,"Liz Dunn, founder and CEO of Pro4ma, joins @SquawkCNBC to discuss how retail might be affected by the latest develo… https://t.co/8RhGkWNLEq",None,8,Twitter Media Studio,9,FALSE,from:cnbc -filter:retweets
CNBC,CNBC,2019-08-02 15:43,Expect pricier toys this Christmas as Trump boosts China tariffs. https://t.co/gU31Uk2enY,None,18,SocialFlow,11,FALSE,from:cnbc -filter:retweets
CNBC,CNBC,2019-08-02 15:23,"Burger King is bringing its vegan Impossible Whopper nationwide, starting next week. 🍔 https://t.co/8PkZTBduKP https://t.co/Ba9kOjEsyX",None,13,Twitter Media Studio,45,FALSE,from:cnbc -filter:retweets
CNBC,CNBC,2019-08-02 15:21,Bannon: Trump could very well face a Democrat not even in the 2020 presidential race yet https://t.co/yXqiKo7Tiv,None,6,SocialFlow,35,FALSE,from:cnbc -filter:retweets
CNBC,CNBC,2019-08-02 15:16,Trump tweets 'too bad!' about burglary attempt at Rep. Elijah Cummings' Baltimore home https://t.co/LYuvUPQwwD,None,9,SocialFlow,16,FALSE,from:cnbc -filter:retweets
CNBC,CNBC,2019-08-02 15:12,Look for 'long-term winners' as China-led slowdown slams industrials: Analyst (via @CNBCFuturesNow) https://t.co/ZK7LMDvLzU,None,5,SocialFlow,18,FALSE,from:cnbc -filter:retweets
CNBC,CNBC,2019-08-02 15:05,Jobs report shows labor market solid as economy faces new trade threats https://t.co/cAchCuhlEY,None,6,SocialFlow,9,FALSE,from:cnbc -filter:retweets
CNBC,CNBC,2019-08-02 15:02,"The @SquawkCNBC crew discusses Comcast's latest announcement of a new theme park to come in Florida, as well as oth… https://t.co/TEau93tSdG",None,3,Twitter Media Studio,8,FALSE,from:cnbc -filter:retweets
CNBC,CNBC,2019-08-02 14:56,Fundstrat's Tom Lee tells investors to 'back-up the truck' and buy this trade war-induced sell-off https://t.co/BLnq8lJ917,None,16,SocialFlow,29,FALSE,from:cnbc -filter:retweets
CNBC,CNBC,2019-08-02 14:53,"This stock, up 230% this year, could see massive move next week $ROKU (via @TradingNation) https://t.co/uq3FcyImbZ",None,8,SocialFlow,17,FALSE,from:cnbc -filter:retweets
CNBC,CNBC,2019-08-02 14:47,Fed's rate cutting helps provide cover for Trump to wage the trade war https://t.co/SGvMWKyfLK,None,22,SocialFlow,36,FALSE,from:cnbc -filter:retweets
CNBC,CNBC,2019-08-02 14:47,Supreme Court could hear first case over the opioid epidemic in suit brought by Arizona https://t.co/gT3nCOzxlk,None,15,SocialFlow,21,FALSE,from:cnbc -filter:retweets
CNBC,CNBC,2019-08-02 14:41,CNBC's @onlyyoontv reports on China's response to President Trump's new tariff threat. https://t.co/krm4bCo89m https://t.co/DPFYsMIM9o,None,15,Twitter Media Studio,22,FALSE,from:cnbc -filter:retweets
CNBC,CNBC,2019-08-02 14:40,"In these days of full employment, Vermont tackles labor shortage by paying workers to move there https://t.co/BecX0AMi9l",None,7,SocialFlow,17,FALSE,from:cnbc -filter:retweets
CNBC,CNBC,2019-08-02 14:35,"70% of shoes sold in the US comes from China. With new tariffs, the industry braces for a hit. https://t.co/1Chnz3kqM1",None,38,SocialFlow,48,FALSE,from:cnbc -filter:retweets
CNBC,CNBC,2019-08-02 14:26,These strategies will help your child get more college financial aid https://t.co/0xqojxSRjy,None,9,SocialFlow,21,FALSE,from:cnbc -filter:retweets
CNBC,CNBC,2019-08-02 14:26,"“The U.S. will start, on September 1st, putting a small additional Tariff of 10% on the remaining 300 Billion Dolla… https://t.co/tJQT0WTsyo",None,12,Twitter Media Studio,30,FALSE,from:cnbc -filter:retweets
CNBC,CNBC,2019-08-02 14:24,"To celebrate our 30th anniversary, we're speaking with leading executives and entrepreneurs who are shaping the fut… https://t.co/SxnW3sUYdg",None,5,Twitter Media Studio,14,FALSE,from:cnbc -filter:retweets
CNBC,CNBC,2019-08-02 14:15,How major toy companies plan to deal with Trump's China tariffs https://t.co/m7H7IJz8yA,None,14,SocialFlow,17,FALSE,from:cnbc -filter:retweets
CNBC,CNBC,2019-08-02 14:04,"US consumer sentiment hit 98.4 in July, as expected https://t.co/tCyvJPJEk8",None,7,SocialFlow,13,FALSE,from:cnbc -filter:retweets
CNBC,CNBC,2019-08-02 14:01,"Kathryn Thompson, Thompson Research Group CEO, discusses the escalating trade war and its impact on American ports,… https://t.co/u1ZXGv0gRx",None,2,Twitter Media Studio,11,FALSE,from:cnbc -filter:retweets
CNBC,CNBC,2019-08-02 13:50,"'Tariff man is back,' major Wall Street strategists declare as trade ceasefire ends https://t.co/E874RlIdgr",None,14,SocialFlow,28,FALSE,from:cnbc -filter:retweets
CNBC,CNBC,2019-08-02 13:46,Facebook and Google's dominance in online ads is starting to show some cracks https://t.co/euGa7C34dH,None,3,SocialFlow,19,FALSE,from:cnbc -filter:retweets
CNBC,CNBC,2019-08-02 13:36,Will your 529 college savings plan be needed if Democrats take the White House? https://t.co/vfjYjUItKG,None,2,SocialFlow,6,FALSE,from:cnbc -filter:retweets
CNBC,CNBC,2019-08-02 13:24,We got an exclusive behind-the-scenes sneak-peek at Polaris' 2020 off-road vehicle lineup. Take a look:… https://t.co/dvkdVxBE0F,None,6,Twitter Media Studio,13,FALSE,from:cnbc -filter:retweets
CNBC,CNBC,2019-08-02 13:23,Here's where the jobs are — in one chart https://t.co/oMJY1pWngb,None,12,SocialFlow,15,FALSE,from:cnbc -filter:retweets
CNBC,CNBC,2019-08-02 13:18,"Deustche Bank upgrades Pinterest to buy, citing its growing ad business https://t.co/ReEkEuYfv5",None,4,SocialFlow,8,FALSE,from:cnbc -filter:retweets
CNBC,CNBC,2019-08-02 13:07,European bank chiefs tell ECB: low interest rates won't fix Europe https://t.co/2DOAC8giBW,None,9,SocialFlow,12,FALSE,from:cnbc -filter:retweets
CNBC,CNBC,2019-08-02 13:02,Canadian pot company Cronos gets foothold in US by buying popular CBD beauty brand Lord Jones https://t.co/2Yq4alBgKv,None,12,SocialFlow,18,FALSE,from:cnbc -filter:retweets
CNBC,CNBC,2019-08-02 12:58,"Analysts sorting winners and losers as new set of tariffs take aim at Nike, retailers https://t.co/sIEgg6agTn",None,2,SocialFlow,6,FALSE,from:cnbc -filter:retweets
CNBC,CNBC,2019-08-02 12:49,Air cargo's struggle signal more economic strain. https://t.co/Rza5j5Lrv1,None,8,SocialFlow,12,FALSE,from:cnbc -filter:retweets
CNBC,CNBC,2019-08-02 12:48,Bank of America: New tariffs to hit earnings and cause stocks to plateau through the end of the year https://t.co/jx4ozQHngn,None,8,SocialFlow,17,FALSE,from:cnbc -filter:retweets
CNBC,CNBC,2019-08-02 12:48,"The No. 1 registered investment advisor in America, @RicEdelman, is annoyed about the state of investment advice in… https://t.co/maaUHsF5In",None,7,SocialFlow,10,FALSE,from:cnbc -filter:retweets
CNBC,CNBC,2019-08-02 12:46,Bed Bath and Beyond is trying to save itself from extinction https://t.co/U7UWi6bAuf,None,6,SocialFlow,10,FALSE,from:cnbc -filter:retweets
CNBC,CNBC,2019-08-02 12:44,Fintech firm Revolut launches a Robinhood-style stock trading service https://t.co/Koa4zeCTOn,None,7,SocialFlow,9,FALSE,from:cnbc -filter:retweets
CNBC,CNBC,2019-08-02 12:43,"BREAKING: The U.S. economy added 164,000 jobs in July, in line with expectations. The total labor force came in at… https://t.co/KMTSi0rxHg",None,374,Wildmoka,582,FALSE,from:cnbc -filter:retweets
CNBC,CNBC,2019-08-02 12:32,Trade deficit remains stubbornly high amid escalating global tensions https://t.co/CAMTDochKY,None,5,SocialFlow,6,FALSE,from:cnbc -filter:retweets
CNBC,CNBC,2019-08-02 12:32,Bannon: Trump's new tariff threat sends a message that China can no longer 'game the system' https://t.co/4uNqnmbytO,None,24,SocialFlow,66,FALSE,from:cnbc -filter:retweets
CNBC,CNBC,2019-08-02 12:32,"Payrolls rise 164,000 as labor force hits a new record https://t.co/bakAiWzXNK",None,147,SocialFlow,411,FALSE,from:cnbc -filter:retweets
CNBC,CNBC,2019-08-02 12:32,"The last time staples stocks did this, they dropped nearly 20% in three months https://t.co/avyXDD7lPx",None,3,SocialFlow,4,FALSE,from:cnbc -filter:retweets
CNBC,CNBC,2019-08-02 12:27,"For economists and investors, the globe hasn't been this confusing in at least three decades https://t.co/ekxJU1XmHJ",None,6,SocialFlow,22,FALSE,from:cnbc -filter:retweets
CNBC,CNBC,2019-08-02 12:18,The top 10 safest countries for retirement https://t.co/aoavWL9sXa,None,8,SocialFlow,14,FALSE,from:cnbc -filter:retweets
CNBC,CNBC,2019-08-02 12:16,Apple suspends program that let employees listen to your Siri recordings https://t.co/i8gBpExeAk,None,26,SocialFlow,23,FALSE,from:cnbc -filter:retweets
